iter	Passed	Remaining
1333	23258	151094
1334	23276	151076
1335	23294	151068
1336	23311	151047
1337	23329	151031
1338	23345	151004
1339	23362	150984
1340	23379	150966
1341	23396	150941
1342	23414	150933
1343	23432	150916
1344	23449	150898
1345	23468	150889
1346	23486	150872
1347	23502	150850
1348	23523	150851
1349	23539	150828
1350	23556	150809
1351	23575	150796
1352	23591	150773
1353	23608	150750
1354	23624	150726
1355	23641	150702
1356	23657	150679
1357	23673	150651
1358	23689	150628
1359	23706	150606
1360	23723	150583
1361	23739	150560
1362	23758	150549
1363	23776	150538
1364	23792	150512
1365	23809	150488
1366	23825	150466
1367	23842	150441
1368	23858	150417
1369	23874	150393
1370	23892	150376
1371	23913	150381
1372	23934	150389
1373	23953	150378
1374	23971	150366
1375	23988	150345
1376	24004	150322
1377	24021	150301
1378	24038	150278
1379	24054	150255
1380	24070	150228
1381	24086	150202
1382	24104	150186
1383	24121	150166
1384	24138	150146
1385	24155	150124
1386	24174	150116
1387	24191	150099
1388	24210	150091
1389	24228	150077
1390	24245	150054
1391	24263	150045
1392	24281	150030
1393	24298	150010
1394	24316	149998
1395	24333	149975
1396	24349	149949
1397	24366	149927
1398	24382	149901
1399	24399	149883
1400	24418	149876
1401	24435	149854
1402	24454	149845
1403	24472	149830
1404	24488	149805
1405	24506	149794
1406	24524	149778
1407	24550	149814
1408	24576	149845
1409	24596	149848
1410	24626	149903
1411	24652	149942
1412	24675	149955
1413	24694	149948
1414	24719	149978
1415	24741	149986
1416	24770	150036
1417	24789	150029
1418	24814	150056
1419	24831	150041
1420	24854	150056
1421	24875	150055
1422	24895	150054
1423	24917	150067
1424	24936	150054
1425	24962	150090
1426	24979	150069
1427	25009	150126
1428	25028	150117
1429	25048	150115
1430	25067	150106
1431	25085	150091
1432	25107	150104
1433	25125	150089
1434	25144	150081
1435	25164	150076
1436	25182	150059
1437	25202	150058
1438	25221	150050
1439	25239	150037
1440	25259	150030
1441	25276	150012
1442	25297	150011
1443	25315	150000
1444	25333	149982
1445	25351	149972
1446	25369	149956
1447	25388	149948
1448	25408	149943
1449	25425	149925
1450	25449	149944
1451	25467	149928
1452	25484	149907
1453	25503	149899
1454	25521	149881
1455	25541	149879
1456	25559	149867
1457	25576	149846
1458	25596	149841
1459	25614	149824
1460	25634	149821
1461	25657	149840
1462	25677	149836
1463	25695	149821
1464	25714	149811
1465	25731	149791
1466	25749	149776
1467	25766	149753
1468	25782	149728
1469	25799	149706
1470	25815	149681
1471	25832	149657
1472	25848	149634
1473	25864	149609
1474	25881	149588
1475	25898	149563
1476	25914	149540
1477	25931	149517
1478	25947	149493
1479	25963	149467
1480	25980	149443
1481	25996	149420
1482	26012	149394
1483	26029	149372
1484	26046	149348
1485	26062	149323
1486	26079	149301
1487	26095	149277
1488	26112	149256
1489	26129	149234
